P|6|8.7759,34.4167;8.7759,34.4126
P|6|8.7759,34.4126;8.7181,34.4167;8.6934,34.4043;8.6769,34.3878;8.6521,34.3755;8.6191,34.3713;8.5944,34.3590;8.5696,34.3301;8.5449,34.3177;8.4872,34.2971;8.4624,34.2971;8.3923,34.3136
P|16|10.7350,34.7425;10.7267,34.7137;10.7102,34.6848;10.6896,34.6683;10.6277,34.6518;10.5741,34.6188;10.5452,34.5734;10.5329,34.5652;10.3926,34.5033;10.3596,34.4827;10.3225,34.4662;10.2400,34.4373;10.2029,34.4291;10.1740,34.3878;10.1493,34.3796;10.0586,34.2847
P|16|10.1039,34.7384;10.1039,34.6889;10.1081,34.6477;10.1039,34.6147;10.0957,34.5899;10.0709,34.5404;10.0668,34.5074;10.0668,34.4126;10.0627,34.3507;10.0544,34.3012;10.0586,34.2847
P|6,21|8.3923,34.3136;8.3675,34.3095;8.3428,34.2889;8.3057,34.2394;8.2438,34.1486;8.2314,34.0950;8.2314,34.0744;8.2067,34.0455;8.1737,34.0208;8.1407,33.9754
P|5,16|10.0586,34.2847;10.0132,34.2270;9.9967,34.1775;9.9967,34.0744;10.0049,34.0125;10.0256,33.9713;10.0338,33.9465
P|5,6|8.7759,34.4126;8.8006,34.3837;8.9037,34.3425;8.9450,34.3425;9.0151,34.2889;9.0357,34.2765;9.0934,34.2600;9.1429,34.2517;9.2337,34.2435;9.3079,34.2600;9.4605,34.2806;9.4729,34.2806;9.5183,34.2682;9.6131,34.2270;9.6832,34.1899;9.7327,34.1569;9.7657,34.1486;9.8400,34.0950;9.8812,34.0538;9.9513,34.0001;9.9967,33.9589;10.0214,33.9465;10.0338,33.9465
P|21|8.1407,33.9754;8.1201,33.9259
P|5|10.0338,33.9465;10.0421,33.9300;10.0586,33.9094;10.0874,33.8888
P|5|10.0874,33.8888;10.0957,33.8805
P|5|10.0874,33.8888;10.0297,33.8847;9.9884,33.8764;9.9719,33.8805;9.9472,33.8682;9.9348,33.8682;9.8853,33.9012;9.8565,33.9094;9.8400,33.9053;9.7987,33.8805
P|21|8.1201,33.9259;8.0830,33.9094;8.0376,33.9053;7.9840,33.8888;7.9551,33.8764;7.9221,33.8682;7.8685,33.8640;7.8272,33.8682;7.8025,33.8640;7.7736,33.8558;7.7200,33.8310;7.6210,33.8063;7.5757,33.8022;7.5138,33.7815;7.4024,33.7279;7.3241,33.7032
P|14|10.8587,33.8682;10.8587,33.8269;10.8711,33.7898;10.8793,33.7774;10.9041,33.7651;10.8999,33.7279;10.9082,33.6991
